mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
cmpd 4 (Crotyl),-9.6321,0.2531,-8.6400,0.0000,True,0.9921305216942441
cmpd 6 (ethyl),-7.9239,0.1056,-8.5900,0.0000,True,0.6661074520965036
cmpd 5 (1-Butenyl),-7.2851,0.1250,-7.6400,0.0000,True,0.35494195660817895
cmpd 8 (n-Butyl),-7.9999,0.0813,-7.6600,0.0000,True,0.3398915323689838
cmpd 2 (methyl),-9.3597,0.0752,-9.5900,0.0000,True,0.23028624482811366
cmpd 3 (Allyl),-6.9188,0.2417,-7.0900,0.0000,True,0.17121743402572911
cmpd 7 (n-propyl),-7.1352,0.0900,-7.0200,0.0000,True,0.11524118149018758
cmpd 9 (methoxyethyl),-7.1953,0.0815,-7.2200,0.0000,True,0.024710147994887664
